Animal..,ARN,Species,Primary.Breed,Colors,Gender,Altered,Pre.Altered,Chip.Provider,Danger,Danger.Reason,Date.of.Birth,Intake.Age,Intake.By,Intake.Date,Intake.Type,Intake.Subtype,Intake.Reason,Intake.Site,Intake.Location,Intake.Sublocation,Intake.Jurisdiction,Intake.Condition,Intake.Agency,Agency.Member,Agency.Member.Phone,Agency.Address,Outcome.Age,Outcome.Age.in.Months,Outcome.Date,Outcome.By,Outcome.Type,Outcome.Subtype,Outcome.Site,Outcome.Location,Outcome.Sublocation,Outcome.Jurisdiction,Transfer.Out.Reason,Outcome.Agency,Released.By,Release.Date,LOS
A39498218,,Cat,Domestic Shorthair,Black/,Female,Yes,Yes,24PetWatch,No,NA,8/25/2015,2y 11m 30d,Rooney Linson,8/24/2018 12:15:27 PM,Stray,Project Meow,,Grays Ferry Avenue,Cat Room,NA,19143—Kingsessing SW,Healthy,,,,,3y 14d,36,9/8/2018 5:27:33 PM,Ame Wiltzius,Adoption,PAC,PAC,PAC,NA,,NA,NA,Ame Wiltzius,9/8/2018 5:27:33 PM,15
A39498302,,Cat,Domestic Longhair,Black/Orange,Female,Yes,Yes,24PetWatch,No,NA,8/25/2017,11m 28d,Rooney Linson,8/22/2018 12:24:10 PM,Stray,Public Drop Off,,Grays Ferry Avenue,Cat Room,NA,19148—South Philadelphia W,Healthy,,,,,1y 1d,12,8/26/2018 3:42:44 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,8/26/2018 3:42:44 PM,4
A39498621,,Cat,Domestic Shorthair,Black/White,Male,Yes,No,24PetWatch,No,NA,8/15/2017,1y 10d,Steve Ciepiela,8/25/2018 12:51:04 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,1y 1m 29d,13,10/14/2018 11:39:44 AM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Steve Ciepiela,10/14/2018 11:39:44 AM,49
A39498799,,Cat,Domestic Shorthair,Black/White,Female,Yes,No,24PetWatch,No,NA,8/16/2016,2y 9d,Steve Ciepiela,8/25/2018 1:03:58 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2y 3m 29d,27,12/15/2018 12:31:18 PM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Steve Ciepiela,12/15/2018 12:31:18 PM,111
A39498849,,Cat,Domestic Shorthair,White/Brown,Female,Yes,Yes,24PetWatch,No,NA,8/23/2016,2y 6m 10d,Steve Ciepiela,3/5/2019 4:46:23 PM,Return,Returned Adoption,Health of Animal,Grant Avenue,Grant Avenue,NA,,Healthy,,,,,2y 10m 2d,34,6/25/2019 6:23:00 PM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Steve Ciepiela,6/25/2019 6:23:00 PM,112
A39498849,,Cat,Domestic Shorthair,White/Brown,Female,Yes,Yes,24PetWatch,No,NA,8/23/2016,2y 2d,Steve Ciepiela,8/25/2018 1:08:10 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2y 5m 20d,29,2/12/2019 4:27:56 PM,Volunteer Account,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Volunteer Account,2/12/2019 4:27:56 PM,171
A39502798,,Cat,Domestic Shorthair,Black/White,Female,Yes,Yes,24PetWatch,No,NA,11/26/2017,9m 0d,Michelle Robinson,8/26/2018 12:14:40 AM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,10m 21d,10,10/17/2018 9:43:26 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,10/17/2018 9:43:26 PM,52
A39507570,,Cat,Domestic Shorthair,White/Brown,Male,Yes,Yes,24PetWatch,No,NA,8/11/2014,4y 16d,Jill Sweeney,8/27/2018 10:29:16 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,4y 27d,48,9/7/2018 5:46:33 PM,Meredyth Forbes,Adoption,PAC,PAC,PAC,NA,,NA,NA,Meredyth Forbes,9/7/2018 5:46:33 PM,11
A39507962,,Cat,American Shorthair,Grey/,Male,Yes,No,24PetWatch,No,NA,8/12/2015,3y 15d,Jill Sweeney,8/27/2018 11:02:41 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,3y 27d,36,9/8/2018 1:32:25 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,9/8/2018 1:32:25 PM,12
A39507967,,Cat,Domestic Shorthair,Brown/Black,Female,Yes,No,24PetWatch,No,NA,8/16/2015,3y 11d,Jill Sweeney,8/27/2018 11:02:40 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,3y 2m 16d,38,11/1/2018 2:12:35 PM,Ame Wiltzius,Adoption,Rittenhouse Pet Supply,PAWS Offsite Adoptions,Rittenhouse Pet Supply,NA,,NA,NA,Ame Wiltzius,11/1/2018 2:12:35 PM,66
A39507970,,Cat,Siamese,Sandy/Black,Female,Yes,No,24PetWatch,No,NA,7/24/2015,3y 1m 3d,Jill Sweeney,8/27/2018 11:02:40 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,3y 1m 23d,37,9/16/2018 1:16:59 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,9/16/2018 1:16:59 PM,20
A39507977,,Cat,Domestic Shorthair,Black/,Female,Yes,No,24PetWatch,No,NA,7/24/2015,3y 1m 3d,Jill Sweeney,8/27/2018 11:02:40 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,3y 1m 23d,37,9/16/2018 1:16:59 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,9/16/2018 1:16:59 PM,20
A39507983,,Cat,American Shorthair,Brown/White,Male,Yes,No,24PetWatch,No,NA,8/12/2016,2y 15d,Jill Sweeney,8/27/2018 11:02:40 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,2y 20d,24,9/1/2018 12:41:32 PM,Rich Wilkinson,Adoption,PAC,PAC,Cat Room,NA,,NA,NA,Rich Wilkinson,9/1/2018 12:41:32 PM,5
A39507988,,Cat,Domestic Shorthair,Black/,Female,Yes,No,24PetWatch,No,NA,4/2/2018,4m 25d,Jill Sweeney,8/27/2018 11:02:40 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,6m 3d,6,10/5/2018 5:51:09 PM,Meredyth Forbes,Adoption,PAC,PAC,PAC,NA,,NA,NA,Meredyth Forbes,10/5/2018 5:51:09 PM,39
A39513138,,Cat,Domestic Shorthair,Grey/Orange,Female,Yes,No,24PetWatch,No,NA,7/26/2018,1m 1d,Jill Sweeney,8/27/2018 4:03:59 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,6m 1d,6,1/27/2019 6:35:01 PM,Aubrey Carpenter,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Aubrey Carpenter,1/27/2019 6:35:01 PM,153
A39513148,,Cat,Domestic Shorthair,Orange/White,Male,Yes,Yes,24PetWatch,No,NA,8/24/2015,3y 3d,Jill Sweeney,8/27/2018 4:03:58 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3y 28d,36,9/21/2018 5:30:55 PM,Meredyth Forbes,Adoption,PAC,PAC,PAC,NA,,NA,NA,Meredyth Forbes,9/21/2018 5:30:55 PM,25
A39513157,,Cat,Domestic Shorthair,Orange/White,Female,Yes,Yes,24PetWatch,No,NA,8/16/2012,6y 1m 21d,Lauren Campagnini,10/7/2018 4:06:34 PM,Return,Returned Adoption,Not Enough Time,PAC,PAC,NA,,Healthy,,,,,6y 2m 12d,74,10/28/2018 2:49:33 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,10/28/2018 2:49:33 PM,20
A39513157,,Cat,Domestic Shorthair,Orange/White,Female,Yes,Yes,24PetWatch,No,NA,8/16/2012,6y 11d,Jill Sweeney,8/27/2018 4:03:58 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,6y 29d,72,9/14/2018 6:31:36 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,9/14/2018 6:31:36 PM,18
A39513168,,Cat,Domestic Shorthair,Black/White,Female,Yes,Yes,24PetWatch,No,NA,6/26/2018,2m 1d,Jill Sweeney,8/27/2018 4:03:58 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2m 18d,2,9/13/2018 6:24:40 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,9/13/2018 6:24:40 PM,17
A39513240,,Cat,Domestic Shorthair,Black/White,Male,Yes,Yes,24PetWatch,No,NA,5/26/2018,3m 1d,Jill Sweeney,8/27/2018 4:03:58 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 4d,3,8/30/2018 3:10:49 PM,Aubrey Carpenter,Adoption,PAC,PAC,PAC,NA,,NA,NA,Aubrey Carpenter,8/30/2018 3:10:49 PM,2
A39513250,,Cat,Domestic Shorthair,Black/White,Male,Yes,Yes,24PetWatch,No,NA,5/26/2018,3m 1d,Jill Sweeney,8/27/2018 4:03:58 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 6d,3,9/1/2018 3:39:30 PM,Meredyth Forbes,Adoption,PAC,PAC,PAC,NA,,NA,NA,Meredyth Forbes,9/1/2018 3:39:30 PM,4
A39513257,,Cat,Domestic Shorthair,Grey/,Female,Yes,Yes,24PetWatch,No,NA,6/23/2016,2y 2m 4d,Jill Sweeney,8/27/2018 4:03:58 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2y 4m 14d,28,11/6/2018 1:25:13 PM,Lauren Campagnini,Adoption,Petsmart Oregon Avenue,PAWS Offsite Adoptions,Cat Room,NA,,NA,NA,Lauren Campagnini,11/6/2018 1:25:13 PM,70
A39513263,,Cat,Domestic Shorthair,White/Brown,Female,Yes,No,24PetWatch,No,NA,7/21/2018,1m 6d,Jill Sweeney,8/27/2018 4:03:58 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 15d,3,11/5/2018 4:37:45 PM,Sara Davidson,Adoption,PAC,PAC,PAC,NA,19106—Center City-Society Hill,NA,NA,Sara Davidson,11/5/2018 4:37:45 PM,70
A39513265,,Cat,Domestic Shorthair,White/Brown,Female,Yes,No,24PetWatch,No,NA,8/26/2016,2y 1d,Jill Sweeney,8/27/2018 4:03:58 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2y 2m 9d,26,11/4/2018 2:20:49 PM,Volunteer Account,Adoption,PAC,PAC,PAC,NA,,NA,NA,Volunteer Account,11/4/2018 2:20:49 PM,68
A39513269,,Cat,Domestic Shorthair,Black/White,Male,Yes,Yes,24PetWatch,No,NA,5/26/2018,3m 1d,Jill Sweeney,8/27/2018 4:03:58 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 12d,3,9/7/2018 5:12:24 PM,Meredyth Forbes,Adoption,PAC,PAC,PAC,NA,,NA,NA,Meredyth Forbes,9/7/2018 5:12:24 PM,11
A39513276,,Cat,Domestic Shorthair,Black/White,Female,Yes,Yes,24PetWatch,No,NA,5/26/2018,3m 1d,Jill Sweeney,8/27/2018 4:03:58 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 4d,3,8/30/2018 12:47:01 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,8/30/2018 12:47:01 PM,2
A39513285,,Cat,Domestic Shorthair,Grey/Brown,Male,Yes,No,24PetWatch,No,NA,7/21/2018,1m 6d,Jill Sweeney,8/27/2018 4:03:58 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 14d,3,11/4/2018 2:20:49 PM,Volunteer Account,Adoption,PAC,PAC,PAC,NA,,NA,NA,Volunteer Account,11/4/2018 2:20:49 PM,68
A39513291,,Cat,Domestic Shorthair,Grey/Brown,Female,Yes,No,24PetWatch,No,NA,7/21/2018,1m 6d,Jill Sweeney,8/27/2018 4:03:58 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 15d,3,11/5/2018 4:37:45 PM,Sara Davidson,Adoption,PAC,PAC,PAC,NA,19106—Center City-Society Hill,NA,NA,Sara Davidson,11/5/2018 4:37:45 PM,70
A39513726,,Dog,"Spaniel, American Cocker",White/Buff,Female,Yes,No,24PetWatch,No,NA,11/27/2017,9m 0d,Sara Davidson,8/27/2018 4:37:36 PM,Owner/Guardian Surrender,In Person Surrender to Shelter,Health of Owner / Family,Grays Ferry Avenue,Kennel - Holding,NA,19134—Port Richmond,Healthy,,,,,9m 13d,9,9/9/2018 5:16:19 PM,Rich Wilkinson,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Rich Wilkinson,9/9/2018 5:16:19 PM,13
A39513858,,Dog,Terrier,Black/,Male,Yes,No,24PetWatch,No,NA,3/9/2011,7y 5m 18d,Sara Davidson,8/27/2018 4:44:59 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Kennel - Adoptions,NA,19146—Schuylkill S,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,7y 6m 14d,90,9/23/2018 11:24:31 AM,Erica Henn,Adoption,Grays Ferry Avenue,Grays Ferry Avenue,Kennel - Adoptions,NA,,NA,NA,Erica Henn,9/23/2018 11:24:31 AM,26
A39514413,,Cat,Domestic Shorthair,Grey/,Female,Yes,Yes,24PetWatch,No,NA,8/27/2017,1y 0d,Michelle Robinson,8/27/2018 5:22:24 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,1y 1m 5d,13,10/2/2018 7:59:39 PM,Ame Wiltzius,Adoption,Kawaii Kitty Cafe,PAWS Offsite Adoptions,Kawaii Kitty Cafe,NA,,NA,NA,Ame Wiltzius,10/2/2018 7:59:39 PM,36
A39514507,,Cat,Domestic Shorthair,White/Orange,Female,Yes,Yes,24PetWatch,No,NA,8/27/2016,2y 0d,Michelle Robinson,8/27/2018 5:29:12 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19139—West Market W,Healthy,,,,,2y 18d,24,9/14/2018 5:59:12 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,9/14/2018 5:59:12 PM,18
A39514593,,Dog,"Terrier, Pit Bull",Buff/White,Male,Yes,No,24PetWatch,No,NA,4/27/2018,4m 0d,Sara Davidson,8/27/2018 5:35:39 PM,Stray,ACCT Diversion,,Grays Ferry Avenue,Foster Care - General,NA,19146—Schuylkill S,Sick & Injured,,,,,4m 19d,4,9/15/2018 4:30:27 PM,Maria Decker,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Maria Decker,9/15/2018 4:30:27 PM,18
A39514602,,Dog,"Terrier, American Pit Bull",Beige/,Female,Yes,No,24PetWatch,No,NA,4/27/2018,4m 0d,Sara Davidson,8/27/2018 5:35:39 PM,Stray,ACCT Diversion,,Grays Ferry Avenue,Foster Care - General,NA,19146—Schuylkill S,Healthy,,,,,4m 26d,4,9/22/2018 3:37:14 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,9/22/2018 3:37:14 PM,25
A39515013,,Cat,Domestic Shorthair,Grey/Cream,Female,Yes,Yes,24PetWatch,No,NA,8/27/2017,1y 0d,Michelle Robinson,8/27/2018 6:19:52 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,1y 2m 5d,14,11/1/2018 7:41:41 PM,Angela Peterdi,Adoption,Petsmart Oregon Avenue,PAWS Offsite Adoptions,Petsmart Broad & Washington,NA,,NA,NA,Angela Peterdi,11/1/2018 7:41:41 PM,66
A39521785,,Cat,Domestic Shorthair,Brown/,Female,Yes,Yes,24PetWatch,No,NA,12/24/2017,8m 4d,Steve Ciepiela,8/28/2018 2:21:23 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,9m 0d,9,9/24/2018 5:19:21 PM,Ashley Matters,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Ashley Matters,9/24/2018 5:19:21 PM,27
A39522255,,Cat,Domestic Shorthair,Brown/,Female,Yes,Yes,24PetWatch,No,NA,8/26/2017,1y 8m 18d,Steve Ciepiela,5/14/2019 4:51:53 PM,Return,Returned Adoption,Allergic to Animal,Grant Avenue,Grant Avenue,NA,,Healthy,,,,,1y 8m 27d,20,5/23/2019 2:31:00 PM,Ashley Matters,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Ashley Matters,5/23/2019 2:31:00 PM,8
A39522255,,Cat,Domestic Shorthair,Brown/,Female,Yes,Yes,24PetWatch,No,NA,8/26/2017,1y 2d,Steve Ciepiela,8/28/2018 2:46:24 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,1y 1m 18d,13,10/14/2018 2:25:06 PM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Steve Ciepiela,10/14/2018 2:25:06 PM,47
A39522600,,Dog,Terrier,Tan/Grey,Female,Yes,No,24PetWatch,No,NA,8/25/2017,1y 3d,Jill Sweeney,8/28/2018 3:02:48 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,1y 12d,12,9/6/2018 7:02:45 PM,Meredyth Forbes,Adoption,PAC,PAC,PAC,NA,,NA,NA,Meredyth Forbes,9/6/2018 7:02:45 PM,9
A39524806,,Dog,Shih Tzu,White/Black,Male,Yes,No,24PetWatch,No,NA,8/28/2010,8y 0d,Angela Peterdi,8/28/2018 5:04:37 PM,Owner/Guardian Surrender,ACCT Diversion,Death of Owner / Family,Grays Ferry Avenue,Kennel - Holding,NA,,Healthy,,,,,8y 11d,96,9/8/2018 5:08:33 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,9/8/2018 5:08:33 PM,11
A39530424,,Cat,Domestic Shorthair,Orange/Brown,Female,Yes,No,24PetWatch,No,NA,7/21/2018,1m 8d,Ali Crider,8/29/2018 12:56:36 PM,Stray,Public Drop Off,,Grays Ferry Avenue,Maternity,NA,Southwest Philadelphia,Healthy,,,,,3m 28d,3,11/18/2018 4:35:47 PM,Erica Henn,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Erica Henn,11/18/2018 4:35:47 PM,81
A39530506,,Cat,Domestic Shorthair,Orange/Brown,Female,Yes,No,24PetWatch,No,NA,7/21/2018,1m 8d,Ali Crider,8/29/2018 1:01:17 PM,Stray,Public Drop Off,,Grays Ferry Avenue,Maternity,NA,Southwest Philadelphia,Healthy,,,,,5m 16d,5,1/6/2019 2:17:29 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,1/6/2019 2:17:29 PM,130
A39530552,,Cat,Domestic Shorthair,Buff/White,Male,Yes,No,24PetWatch,No,NA,8/15/2014,4y 14d,Jill Sweeney,8/29/2018 1:03:37 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,4y 2m 22d,50,11/6/2018 3:34:07 PM,Aubrey Carpenter,Adoption,Petsmart Oregon Avenue,PAWS Offsite Adoptions,Petsmart Oregon Avenue,NA,,NA,NA,Aubrey Carpenter,11/6/2018 3:34:07 PM,69
A39530558,,Cat,Domestic Shorthair,White/,Male,Yes,No,24PetWatch,No,NA,8/23/2013,5y 6d,Jill Sweeney,8/29/2018 1:03:36 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Sick,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,5y 2m 14d,62,11/6/2018 5:39:37 PM,Aubrey Carpenter,Adoption,Petsmart Oregon Avenue,PAWS Offsite Adoptions,Petsmart Oregon Avenue,NA,,NA,NA,Aubrey Carpenter,11/6/2018 5:39:37 PM,69
A39530567,,Cat,Domestic Shorthair,White/Brown,Male,Yes,No,24PetWatch,No,NA,8/10/2017,1y 19d,Jill Sweeney,8/29/2018 1:03:36 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Sick,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,1y 23d,12,9/2/2018 12:49:50 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,9/2/2018 12:49:50 PM,3
A39530570,,Cat,American Shorthair,Brown/Black,Male,Yes,No,24PetWatch,No,NA,8/12/2017,1y 17d,Jill Sweeney,8/29/2018 1:03:36 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Sick,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,1y 21d,12,9/2/2018 4:05:33 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,9/2/2018 4:05:33 PM,4
A39530576,,Cat,Domestic Shorthair,Orange/Black,Female,Yes,No,24PetWatch,No,NA,8/14/2015,3y 15d,Jill Sweeney,8/29/2018 1:03:36 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Sick,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,3y 2m 0d,38,10/14/2018 2:40:02 PM,Volunteer Account,Adoption,PAC,PAC,PAC,NA,,NA,NA,Volunteer Account,10/14/2018 2:40:02 PM,46
A39530583,,Cat,Domestic Shorthair,Buff/Grey,Female,Yes,No,24PetWatch,No,NA,8/18/2017,1y 11d,Jill Sweeney,8/29/2018 1:03:36 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,1y 3m 19d,15,12/7/2018 11:13:16 AM,Aubrey Carpenter,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Aubrey Carpenter,12/7/2018 11:13:16 AM,99
A39530590,,Cat,Domestic Shorthair,White/Brown,Male,Yes,No,24PetWatch,No,NA,8/4/2018,25d,Jill Sweeney,8/29/2018 1:03:36 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Less Than 7 Weeks,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,4m 3d,4,12/7/2018 2:29:38 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,12/7/2018 2:29:38 PM,100
A39530594,,Cat,Domestic Shorthair,Orange/White,Male,Yes,No,24PetWatch,No,NA,8/4/2018,25d,Jill Sweeney,8/29/2018 1:03:36 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Less Than 7 Weeks,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,4m 3d,4,12/7/2018 2:29:38 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,12/7/2018 2:29:38 PM,100
A39530604,,Cat,Domestic Shorthair,Brown/,Male,Yes,No,24PetWatch,No,NA,8/4/2018,25d,Jill Sweeney,8/29/2018 1:03:36 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Less Than 7 Weeks,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,4m 3d,4,12/7/2018 1:20:28 PM,Aubrey Carpenter,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Aubrey Carpenter,12/7/2018 1:20:28 PM,100
A39530609,,Cat,Domestic Shorthair,Buff/,Female,Yes,Yes,24PetWatch,No,NA,8/23/2012,6y 8m 19d,Lauren Campagnini,5/12/2019 11:06:51 AM,Return,Returned Adoption,Behavior Issues,PAWS Foster Program,Foster Care - General,NA,,Sick,,,,,7y 3m 26d,87,12/19/2019 3:24:00 PM,Meredyth Forbes,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Meredyth Forbes,12/19/2019 3:24:00 PM,221
